manufactered_date,brand,series,model,name,categories,for_brand,for_lens_model,with_adapter,zooms_primes,focal_lengths,special_designs,filter_thread,brand_lens_hood,dimensions,format_compatibility,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Canon,T-Mount (T-thread),Canon EF ,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Minolta,Minolta MD / T-Mount,,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Sony,Sony / Minolta / T-Mount,,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Nikon,T-mount (T-thread),Nikon F,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Olympus,Olympus OM / T-Mount,,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Pentax,Pentax / T-Mount,,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Pentax,Pentax M42 / T-Mount,,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",,,,,,,,,,,,,,
7/7/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Universal,T-mount (T-thread),,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.01 x 29.79cm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Canon,T-Mount (T-thread),Canon FD,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Canon,T-Mount (T-thread),Canon EF ,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Minolta,Minolta MD / T-Mount,,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Sony,Sony / Minolta / T-Mount,,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Nikon,T-mount (T-thread),Nikon F,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Olympus,Olympus / T-Mount,,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Pentax,Pentax K / T-Mount,,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
7/8/09,Bower,,SLY500P,500mm f/8 High-Power Telephoto with Preset Aperture,SLR Lenses,Pentax,Pentax M42 / T-Mount,,Prime Lenses,500mm,,67mm,xx,"2.76 x 11.73"" (7.07 x 29.79 cm)",,,,,,,,,,,,,,
3/30/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Universal,T-mount (T-thread),,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30cm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Canon,T-Mount (T-thread),Canon FD,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Canon,T-Mount (T-thread),Canon EF ,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Minolta,Minolta MD / T-Mount,,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Sony,Sony / Minolta / T-Mount,,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Nikon,T-mount (T-thread),Nikon F,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Olympus,Olympus OM / T-Mount,,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Pentax,Pentax / T-Mount,,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
4/29/09,Bower,,SLY650T,650-1300mm f/8-16 Zoom Telephoto,SLR Lenses,Pentax,Pentax M42 / T-Mount,,Zoom Lenses,650-1300mm,,95mm,xx,"4.13 x 18.23"" (10.49 x 46.30 cm)",,,,,,,,,,,,,,
