for_brand,for_lens_model,with_adapter,zooms_primes,speical_designs,format_comatibility,,,,,,,,,,,,,
Sony,Sony A,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
Sony,Sony (E Mount for NEX),,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Canon,Canon,,,,,,,,,,,,,,,,,
Nikon,Nikon,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
Pentax,Pentax,,,,,,,,,,,,,,,,,
Sony,Sony,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,Sony A,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,Sony,,,,,,,,,,,,,,,,,
Sony,NEX,,,,,,,,,,,,,,,,,
Leica,Leica R,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Sony,Sony / Minolta,,,,,,,,,,,,,,,,,
Olympus,Olympus,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,Sony A,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
Leica,Leica M,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
None,M39 screw mount-  M39 to M bayonet mount adapter included,,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Universal,M42 Mount,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Minolta,,,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,"Sony Alpha, Minolta AF",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,"Sony Alpha, Minolta AF",,,,,,,,,,,,,,,,,
Pentax,Canon EF,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
"Canon, Sony",Canon EF / Sony E,,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Canon,Canon EF-M,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Sony,Sony (E Mount for NEX),,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X mount,,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Nikon,Nikon 1,,,,,,,,,,,,,,,,,
Nikon,Nikon 1,,,,,,,,,,,,,,,,,
Nikon,Nikon 1,,,,,,,,,,,,,,,,,
Nikon,Nikon 1,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds / Micro Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Olympus OM,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
Olympus,Olympus,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
