BRAND,SKU_NO,SEQNUM,CAPTION,FILE_NAME,THUMBNAIL,FULL_URL
Axler,6345,11,Lateral Plate Slide,IMG_439406.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439406.jpg
Axler,6345,12,Case,IMG_439407.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439407.jpg
Axler,6346,1,Alternate View,IMG_458945.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458945.jpg
Axler,6346,2,Alternate View,IMG_458946.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458946.jpg
Axler,6346,3,Bottom View-Adjustable Counterweights,IMG_458947.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458947.jpg
Axler,6346,4,Sliding Gimbal Handle,IMG_458948.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458948.jpg
Axler,6346,5,Fore-Aft Plate Adjustment,IMG_458949.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458949.jpg
Axler,6346,6,Lateral Plate Adjustment,IMG_458950.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458950.jpg
Axler,6346,7,Plate View,IMG_458951.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458951.jpg
Axler,6346,8,Case,IMG_458952.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458952.jpg
Axler,6346,9,Suggested Use,IMG_458953.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_458953.jpg
Axler,6346,10,Shown in Use,IMG_465265.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_465265.jpg
Axler,6347,1,Full Extension,IMG_443623.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443623.jpg
Axler,6347,2,Sliding Handle,IMG_443624.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443624.jpg
Axler,6347,3,Bottom View,IMG_443625.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443625.jpg
Axler,6347,4,Adjustable Counterweights,IMG_443626.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443626.jpg
Axler,6347,5,Suggested Use 1,IMG_443627.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443627.jpg
Axler,6347,6,Suggested Use 2,IMG_443628.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443628.jpg
Axler,6347,7,Shown in Use,IMG_465259.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_465259.jpg
Axler,6347,8,Gimbal Handle,IMG_443629.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443629.jpg
Axler,6347,9,Fore-Aft Plate Adjust,IMG_443630.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443630.jpg
Axler,6347,10,Lateral Plate Adjust,IMG_443631.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443631.jpg
Axler,6347,11,Plate,IMG_443632.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443632.jpg
